RK	Team	Total Points	Previous Points
1	Brazil	1841.3	1837.56
2	Belgium	1816.71	1821.92
3	Argentina	1773.88	1770.65
4	France	1759.78	1764.85
5	England	1728.47	1737.46
6	Italy	1726.14	1713.86
7	Spain	1715.22	1716.93
8	Netherlands	1694.51	1679.41
9	Portugal	1676.56	1678.65
10	Denmark	1666.57	1665.47
11	Germany	1650.21	1658.96
12	Croatia	1645.64	1632.15
13	Mexico	1644.89	1649.57
14	Uruguay	1638.71	1640.95
15	Switzerland	1635.92	1621.43
16	USA	1627.48	1635.01
17	Colombia	1611.04	1604.07
18	Senegal	1584.38	1584.59
19	Wales	1569.82	1582.13
20	IR Iran	1564.61	1558.64
21	Serbia	1563.62	1549.53
22	Morocco	1563.5	1558.35
23	Peru	1561.01	1562.24
24	Japan	1559.54	1554.69
25	Sweden	1553.33	1563.44
26	Poland	1548.59	1546.18
27	Ukraine	1536.99	1542.79
28	Korea Republic	1530.3	1526.02
29	Chile	1509.61	1514.86
30	Tunisia	1507.54	1507.86
31	Costa Rica	1503.59	1500.06
32	Nigeria	1498.47	1504.7
33	Russia	1496.11	1493.42
34	Austria	1492.95	1502.47
35	Czechia	1492.21	1502.9
36	Hungary	1492.2	1486.76
37	Algeria	1489.1	1480.59
38	Australia	1488.72	1483.73
39	Egypt	1486.44	1482.63
40	Scotland	1479.53	1462.96
41	Canada	1475	1473.82
42	Norway	1473.04	1488.57
43	Cameroon	1471.44	1484.95
44	Ecuador	1464.39	1463.74
45	Türkiye	1460.14	1475.13
46	Mali	1448.85	1442.88
47	Paraguay	1448.77	1440.13
48	Côte d'Ivoire	1443.06	1435.91
49	Republic of Ireland	1440.19	1442.48
50	Qatar	1439.89	1441.97
51	Saudi Arabia	1437.78	1435.74
52	Greece	1437.6	1441.45
53	Romania	1434.68	1427.84
54	Burkina Faso	1432.25	1425.64
55	Slovakia	1425.59	1439.99
56	Finland	1405.6	1398.41
57	Venezuela	1404.37	1405.17
58	Bosnia and Herzegovina	1403.51	1403.98
59	Northern Ireland	1396.55	1399.1
60	Panama	1393.28	1389.27
61	Ghana	1393	1393.47
62	Iceland	1384.41	1379.61
63	Slovenia	1384.04	1372.48
64	Jamaica	1378.86	1382.06
65	North Macedonia	1358.51	1375.2
66	Albania	1354.11	1361.81
67	South Africa	1349.59	1350.55
68	Iraq	1343.01	1338.91
69	Montenegro	1341.03	1354.59
70	United Arab Emirates	1337.57	1346.09
71	Cabo Verde	1336.05	1331.46
72	Bulgaria	1335.36	1325.16
73	Congo DR	1333.92	1332.84
74	El Salvador	1330.51	1333.48
75	Oman	1320.29	1323.03
76	Israel	1316.55	1316.35
77	Uzbekistan	1309.98	1306.63
78	Georgia	1307.34	1296.46
79	China PR	1305.06	1305.06
80	Honduras	1301.98	1299.69
81	Gabon	1301.84	1301.84
82	Bolivia	1296.28	1298.81
83	Guinea	1290.47	1294.89
84	Jordan	1289.99	1279.74
85	Bahrain	1280.64	1289.25
86	Curaçao	1278.64	1293.35
87	Haiti	1269.07	1269.07
88	Zambia	1267.41	1270.8
89	Uganda	1260.69	1264.56
90	Syria	1255.92	1265.03
91	Benin	1247.47	1258.71
92	Luxembourg	1243.8	1235.36
93	Armenia	1233.93	1242.42
94	Palestine	1233.72	1233.72
95	Kyrgyz Republic	1230.22	1232.91
96	Vietnam	1226.65	1218.84
97	Belarus	1221.06	1226.55
98	Equatorial Guinea	1215.66	1215.33
99	Lebanon	1211.71	1211.71
100	Congo	1208.79	1215.09
101	Kenya	1202.26	1202.26
102	Madagascar	1200.74	1193.78
103	Mauritania	1197.58	1181.86
104	Trinidad and Tobago	1195.29	1205.85
105	New Zealand	1193.98	1198.96
106	India	1192.09	1198.65
107	Kosovo	1187.01	1183.9
108	Tajikistan	1185.7	1179.1
109	Estonia	1184.64	1177.4
110	Cyprus	1183.82	1180.52
111	Thailand	1174.92	1170.69
112	Korea DPR	1169.96	1169.96
113	Kazakhstan	1166.63	1166.28
114	Mozambique	1165.22	1165.41
115	Namibia	1164.13	1164.13
116	Guinea-Bissau	1160.71	1165.53
117	Sierra Leone	1160.31	1169.71
118	Guatemala	1156.7	1161.96
119	Angola	1155.9	1149.08
120	Libya	1154.25	1148.36
121	Niger	1152.8	1155.23
122	Faroe Islands	1147.17	1136.29
123	Azerbaijan	1146.72	1127.17
124	Malawi	1144.97	1144.77
125	Zimbabwe	1138.56	1138.56
126	The Gambia	1137.47	1137.47
127	Togo	1128.92	1130.22
128	Sudan	1127.34	1124.91
129	Comoros	1123.18	1127.44
130	Tanzania	1119.89	1121.91
131	Antigua and Barbuda	1117.01	1117.01
132	Central African Republic	1116.97	1116.06
133	Philippines	1115.13	1115.13
134	Latvia	1114.21	1125.36
135	Turkmenistan	1100.47	1100.47
136	Solomon Islands	1095.7	1092.56
137	Rwanda	1093.66	1095.04
138	Ethiopia	1091.19	1088.27
139	Suriname	1077.3	1072.24
140	St Kitts and Nevis	1076.91	1076.91
141	Burundi	1076.26	1076.26
142	Nicaragua	1071.83	1079.18
143	Eswatini	1070.89	1070.89
144	Lithuania	1069.75	1074.08
145	Hong Kong	1062.39	1058.37
146	Malaysia	1062.32	1057.59
147	Lesotho	1061.4	1061.4
148	Botswana	1056.46	1060.17
149	Kuwait	1053.41	1053.41
150	Liberia	1049.66	1051.25
151	Andorra	1035.2	1028.7
152	Indonesia	1033.9	1019.19
153	Dominican Republic	1031.86	1031.86
154	Maldives	1026.09	1018.25
155	Yemen	1023.52	1023.52
156	Afghanistan	1023.04	1023.04
157	Chinese Taipei	1017.78	1017.78
158	Myanmar	1007.89	1011.91
159	Papua New Guinea	1007.46	997.6
160	Singapore	1003.5	1004.75
161	New Caledonia	995.58	999.7
162	Tahiti	995.11	995.11
163	Fiji	989.43	993.37
164	Vanuatu	985.62	990.55
165	South Sudan	983.99	983.99
166	Barbados	982.27	982.27
167	Cuba	978.65	978.65
168	Malta	977.92	974.68
169	Bermuda	977.47	977.47
170	Puerto Rico	974.32	974.32
171	Guyana	968.74	968.74
172	St Lucia	965.66	965.66
173	Grenada	963.72	969
174	Moldova	961.23	944.96
175	Nepal	954.86	950.45
176	Belize	950.88	950.88
177	Cambodia	948.62	954.3
178	St Vincent and the Grenadines	945.25	939.97
179	Montserrat	940.78	940.78
180	Mauritius	932.02	932.02
181	Chad	930.22	931.98
182	Macau	922.1	922.1
183	Mongolia	913.55	913.55
184	Dominica	911.51	911.51
185	Bhutan	910.96	910.96
186	São Tomé and Príncipe	908.18	908.18
187	Laos	905.51	914.66
188	American Samoa	900.27	900.27
189	Cook Islands	899.33	899.33
190	Brunei Darussalam	898.41	897.1
191	Samoa	894.26	894.26
192	Bangladesh	884.45	883.18
193	Djibouti	875.05	877.84
194	Pakistan	866.81	866.81
195	Cayman Islands	865.72	865.72
196	Liechtenstein	862.39	873.99
197	Tonga	861.81	861.81
198	Timor-Leste	860.06	860.06
199	Seychelles	859.56	860.48
200	Eritrea	855.56	855.56
201	Aruba	855.37	855.37
202	Bahamas	854.8	854.8
203	Somalia	854.72	854.72
204	Gibraltar	852.16	856.55
205	Guam	838.33	838.33
206	Turks and Caicos Islands	832	832
207	Sri Lanka	825.25	825.25
208	US Virgin Islands	823.97	823.97
209	British Virgin Islands	809.32	809.32
210	Anguilla	790.74	790.74
211	San Marino	762.22	763.82